122 62 22
1.39804e-76 13 7 0
1.39804e-76 14 7 0
1.39804e-76 15 7 0
1.39804e-76 16 7 0
1.39804e-76 17 7 0
1.39804e-76 18 7 0
1.39804e-76 19 7 0
1.39804e-76 20 7 0
1.39804e-76 21 7 0
1.39804e-76 22 7 0
1.39804e-76 23 7 0
1.39804e-76 24 7 0
1.39804e-76 25 7 0
1.39804e-76 26 7 0
1.39804e-76 27 7 0
1.39804e-76 28 7 0
1.39804e-76 29 7 0
1.39804e-76 30 7 0
1.39804e-76 31 7 0
1.39804e-76 32 7 0
1.39804e-76 33 7 0
1.39804e-76 34 7 0
1.39804e-76 35 7 0
1.39804e-76 36 7 0
1.39804e-76 37 7 0
1.39804e-76 38 7 0
1.39804e-76 39 7 0
1.39804e-76 40 7 0
1.39804e-76 41 7 0
1.39804e-76 42 7 0
1.39804e-76 43 7 0
1.39804e-76 44 7 0
1.39804e-76 45 7 0
1.39804e-76 46 7 0
1.39804e-76 47 7 0
1.39804e-76 48 7 0
1.39804e-76 49 7 0
1.39804e-76 50 7 0
1.39804e-76 51 7 0
1.39804e-76 52 7 0
1.39804e-76 53 7 0
1.39804e-76 54 7 0
1.39804e-76 55 7 0
1.39804e-76 56 7 0
1.39804e-76 57 7 0
1.39804e-76 58 7 0
1.39804e-76 59 7 0
1.39804e-76 60 7 0
1.39804e-76 61 7 0
1.39804e-76 62 7 0
1.39804e-76 63 7 0
1.39804e-76 64 7 0
1.39804e-76 65 7 0
1.39804e-76 66 7 0
1.39804e-76 67 7 0
1.39804e-76 68 7 0
1.39804e-76 69 7 0
1.39804e-76 70 7 0
1.39804e-76 71 7 0
1.39804e-76 72 7 0
1.39804e-76 73 7 0
1.39804e-76 74 7 0
1.39804e-76 75 7 0
1.39804e-76 76 7 0
1.39804e-76 77 7 0
1.39804e-76 78 7 0
1.39804e-76 79 7 0
1.39804e-76 80 7 0
1.39804e-76 81 7 0
1.39804e-76 82 7 0
1.39804e-76 83 7 0
1.39804e-76 84 7 0
1.39804e-76 85 7 0
1.39804e-76 86 7 0
1.39804e-76 87 7 0
1.39804e-76 88 7 0
1.39804e-76 89 7 0
1.39804e-76 90 7 0
1.39804e-76 91 7 0
1.39804e-76 92 7 0
1.39804e-76 93 7 0
1.39804e-76 94 7 0
1.39804e-76 95 7 0
1.39804e-76 96 7 0
1.39804e-76 97 7 0
1.39804e-76 98 7 0
1.39804e-76 99 7 0
1.39804e-76 100 7 0
1.39804e-76 101 7 0
